province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
宁夏回族自治区,2021,188.5,2082.89,20.72,1597.68,485.2099999999998,0.0099477168741508,0.2329503718391272,,3.48,87.65,91.13,0.9618127949083726,0.483448275862069,,419500.0
宁夏回族自治区,2022,198.7,2235.13,18.45,1721.16,513.97,0.0082545534264226,0.2299508306004572,2.6639296892549607,3.35,84.1,87.44999999999999,0.96169239565466,0.4401107196779064,,455500.0
宁夏回族自治区,2023,219.9,2314.28,17.05,1721.51,592.7700000000002,0.0073673021414867,0.2561358176193028,5.834195401996847,,,,,,3900.0,473900.0
安徽省,2012,1087.9,1767.5,19.62,1649.48,118.01999999999998,0.0111004243281471,0.0667722772277227,,109.26,373.74,483.0,0.7737888198757764,0.4439746300211416,,
安徽省,2013,1242.2,1970.04,34.15,1928.35,41.690000000000055,0.0173346734076465,0.0211620068628048,,112.39,423.91,536.3000000000001,0.790434458325564,0.4317340202865883,,
安徽省,2014,1360.6,2033.91,41.51,1956.08,77.83000000000015,0.0204089659817789,0.038266196636036,,129.33,459.13,588.46,0.7802229548312544,0.4325003674849331,,
安徽省,2015,1386.9,2062.0,48.67,1959.0,103.0,0.0236032977691561,0.0499515033947623,,188.18,405.25,593.4300000000001,0.6828943599076555,0.4278823274929699,,
安徽省,2016,1475.0,2252.69,63.17,2134.69,118.0,0.0280420297510975,0.0523818190696456,,193.11836094807043,403.5137729971052,596.6321339451756,0.6763192091731753,0.4044963619967292,,
安徽省,2017,1605.4,2456.28,52.97,2318.32,137.96000000000004,0.0215651310111225,0.0561662351197746,,224.93814868748024,411.4224980089704,636.3606466964507,0.6465241057013734,0.3963875960486175,9909.0,
安徽省,2018,1883.0,2734.49,53.84,2533.74,200.75,0.0196892290701373,0.0734140552717325,,232.12,429.22,661.34,0.649015634923035,0.3512161444503452,10965.0,
安徽省,2019,2106.0,2886.67,51.09,2663.97,222.70000000000027,0.0176985938815313,0.0771477169194955,,174.05,454.09,628.14,0.7229120896615404,0.2982621082621082,23198.0,324464.0
安徽省,2020,2097.0,2808.98,66.21,2555.84,253.13999999999987,0.0235708335410006,0.090118121168538,,219.81,419.23,639.04,0.6560309213820732,0.3047401049117787,,
安徽省,2021,2319.5,3083.39,80.72,2741.26,342.12999999999965,0.0261789783322901,0.1109590418338256,,161.34,478.82,640.16,0.7479692576855786,0.2759905151972407,,419500.0
安徽省,2022,2534.3,3298.77,72.12,2903.29,395.48,0.0218626942769577,0.1198871094377601,40.8469219019094,82.6,477.9,560.5,0.8526315789473684,0.2211656078601586,84000.0,455500.0
安徽省,2023,2848.0,3549.45,86.6,3053.36,496.0899999999997,0.0243981461916634,0.1397653157531447,66.42007073042564,,,,,,101000.0,473900.0
山东省,2012,2161.4,3195.2,1.19,3034.6,160.5999999999999,0.0003724336504757,0.0502628943415122,,286.290979,1282.3,1568.590979,0.8174852572577493,0.7257291473119275,,
山东省,2013,2048.5,3549.03,3.45,3464.17,84.86000000000013,0.0009720966010431,0.0239107587143529,,111.29,802.3,913.59,0.8781838680370845,0.4459799853551379,,
